Cordinates,Unnamed: 1,TEHSIL,District,STATE,merged_column,clean_coords,lat,lon,label,Exposure
"32.0615476916, 76.0984",,JAWALI,KANGRA,HIMACHAL PRADESH,,"32.0615476916, 76.0984",32.0615476916,76.0984,2,At Risk
"32.4832724073, 77.1136",,LAHUL,LAHUL & SPITI,HIMACHAL PRADESH,,"32.4832724073, 77.1136",32.4832724073,77.1136,2,At Risk
"31.5154320733, 78.1549",,NICHAR,KINNAUR,HIMACHAL PRADESH,,"31.5154320733, 78.1549",31.5154320733,78.1549,2,At Risk
"31.0746317535, 76.9256",,ARKI,SOLAN,HIMACHAL PRADESH,,"31.0746317535, 76.9256",31.0746317535,76.9256,2,At Risk
"31.4516101293, 77.6349",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4516101293, 77.6349",31.4516101293,77.6349,2,At Risk
"30.903541418, 77.0914",,SOLAN,SOLAN,HIMACHAL PRADESH,,"30.903541418, 77.0914",30.903541418,77.0914,2,At Risk
"31.4968680342, 77.7007",,NERMAND,KULLU,HIMACHAL PRADESH,,"31.4968680342, 77.7007",31.4968680342,77.7007,2,At Risk
"31.2429447958, 76.9107",,ARKI,SOLAN,HIMACHAL PRADESH,,"31.2429447958, 76.9107",31.2429447958,76.9107,2,At Risk
"30.9567370299, 77.1569",,KANDAGHAT,SOLAN,HIMACHAL PRADESH,,"30.9567370299, 77.1569",30.9567370299,77.1569,2,At Risk
"30.8302541927, 77.1649",,PACHHAD,SIRMAUR,HIMACHAL PRADESH,,"30.8302541927, 77.1649",30.8302541927,77.1649,2,At Risk
"30.9701245884, 76.9631",,KRISHANGARH,SOLAN,HIMACHAL PRADESH,,"30.9701245884, 76.9631",30.9701245884,76.9631,2,At Risk
,,SARKAGHAT,MANDI,HIMACHAL PRADESH,"31.70093154, 76.7365","31.70093154, 76.7365",31.70093154,76.7365,2,At Risk
,,SARKAGHAT,MANDI,HIMACHAL PRADESH,"31.71042306, 76.7362","31.71042306, 76.7362",31.71042306,76.7362,2,At Risk
"30.6223591593, 77.2866",,NAHAN,SIRMAUR,HIMACHAL PRADESH,,"30.6223591593, 77.2866",30.6223591593,77.2866,2,At Risk
"31.0905854608, 77.2863",,THEOG,SHIMLA,HIMACHAL PRADESH,,"31.0905854608, 77.2863",31.0905854608,77.2863,2,At Risk
"76.7254, 31.5105234834",,GHURMW|N,BILASPUR,HIMACHAL PRADESH,,"76.7254, 31.5105234834",76.7254,31.5105234834,2,At Risk
"31.0995850185, 77.2104",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0995850185, 77.2104",31.0995850185,77.2104,2,At Risk
"31.0831197968, 77.1744",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0831197968, 77.1744",31.0831197968,77.1744,2,At Risk
"31.9051180879, 77.1398",,BHUNTAR,KULLU,HIMACHAL PRADESH,,"31.9051180879, 77.1398",31.9051180879,77.1398,2,At Risk
