lat,lon,District,TEHSIL,elevation,slope,aspect,roughness,dist_to_road,dist_to_building,dist_to_river,building_density,landuse_type,ndvi,rainfall_7day,rainfall_15day,label,Exposure
31.7188481902,76.6627,HAMIRPUR,BAMSAN,1159,11.871018,112.619865,18.0,64.34967876536685,763.5030075516491,803.9780503430254,1,forest,0.36905086,31.966,69.861,2,At Risk
31.0057467292,77.3721,SIRMAUR,RANHOT,1198,31.219654,316.08093,57.0,13.037890213306174,3103.4074314964355,135.71419316077427,0,residential,0.356437,28.054,61.396,2,At Risk
30.8633313224,77.0013,SOLAN,KASAULI,1101,22.93803,136.54816,36.0,15.231764411863736,1724.5088914090138,813.1279799968603,0,forest,0.11430773,32.197,70.464,2,At Risk
30.7186213298,77.1899,SIRMAUR,PACHHAD,1606,9.185,270.0,18.0,13.6964252025772,226.5984443764003,1631.5551891647135,28,forest,0.039287347,28.054,61.396,2,At Risk
31.91263178,76.8855,MANDI,PADHAR,1293,24.095581,220.60129,35.0,113.18316357970293,3116.5179229202545,677.3728217049135,0,forest,0.46138072,31.966,69.861,2,At Risk
32.4015888327,75.985,CHAMBA,BHATTIYAT,721,21.802094,14.036243,30.0,10.673908623457988,4076.429672216064,54.81214188126483,0,forest,0.19620743,34.019,74.359,2,At Risk
31.79111305,76.7594,MANDI,DHARAMPUR,927,11.55934,251.56505,20.0,11.721344008739115,1304.150789131331,829.2332926993159,0,residential,0.27507162,31.966,69.861,2,At Risk
32.1297030858,76.5444,KANGRA,PALAMPUR,1439,25.85245,154.29004,36.0,304.02275876475187,343.44024686354254,95.04445957348834,1,forest,0.4143441,34.019,74.359,2,At Risk
32.5521605536,76.125,CHAMBA,CHAMBA,887,43.749935,217.45058,59.0,47.633584519605,287.93077743296044,177.29967074644534,10,residential,0.89368594,34.019,74.359,2,At Risk
31.7154738648,76.6487,HAMIRPUR,BAMSAN,1151,7.4273915,172.87498,9.0,23.30486633931711,665.3844014146783,1097.0680353273935,1,forest,0.27569965,31.966,69.861,2,At Risk
31.6441134473,77.3441,KULLU,BANJAR,1350,22.862799,302.4712,49.0,9.81342636621886,767.8065688472892,110.56469739544826,2,residential,0.14514025,21.894,47.828,2,At Risk
31.82456661,76.9386,MANDI,PADHAR,1112,15.988388,253.61046,21.0,22.59101702566135,1103.225230919812,1313.161098597208,0,forest,0.57852197,31.966,69.861,2,At Risk
32.5878817587,75.9842,CHAMBA,DALHOUSIE,1145,27.831003,40.03026,42.0,17.883287443246136,1873.6889633577803,435.60794123453337,0,forest,0.29246676,34.019,74.359,2,At Risk
30.9268389226,77.1146,SOLAN,SOLAN,1456,16.25149,109.44003,21.0,69.53461455260191,752.3035709472907,2839.142675576884,1,forest,0.43150893,32.197,70.464,2,At Risk
31.2058255314,77.4248,SHIMLA,THEOG,2523,18.596418,144.78241,30.0,26.18955896765669,2055.4946982838355,1244.8878168843116,0,forest,0.29373452,23.856,52.159,2,At Risk
